city_name,city_revenue,avg_city_rating,customer_count,penetration_rate,revenue_per_rent,city_rank
Bangalore,"10,720,736",4.48,39,3.17E-06,360.97,1
Chennai,"11,854,600",4.52,42,3.78E-06,693.25,6
Pune,"15,627,320",4.47,52,6.93E-06,"1,021.39",9
Jaipur,"9,980,120",3.51,69,0.00001725,924.09,8
Delhi,"9,208,980",3.51,68,2.19E-06,409.29,3
Mumbai,"2,960,580",3.45,27,1.32E-06,93.99,2
Hyderabad,"1,571,110",3.39,21,0.0000021,69.83,4
Ahmedabad,"1,798,310",3.53,23,2.77E-06,124.88,5
Kolkata,"2,233,320",3.49,28,1.88E-06,137.86,7
Surat,"2,165,460",3.49,27,0.00000375,160.4,10
Lucknow,"1,329,230",3.52,21,5.53E-06,147.69,11
Kanpur,"2,601,240",3.45,35,1.13E-05,321.14,12
Nagpur,"1,708,620",3.48,24,8.28E-06,237.31,13
Indore,"1,769,770",3.48,21,6.36E-06,280.92,14
