sale_id,sale_date,product_id,customer_id,rating,sat_tier,sale_year,sale_month_num,sale_month_name,sale_quarter,city_id_lookup,city_name,population,estimated_rent,city_rank,quantity,price,total_amount,calc_revenue,revenue_diff
2609,01/09/2023,24,1,5,Satisfied (4-5),2023,9,September,3,1,Bangalore,12300000,29700,1,5,500,2500,2500,0
2716,04/09/2023,24,1,4,Satisfied (4-5),2023,9,September,3,1,Bangalore,12300000,29700,1,10,500,5000,5000,0
3025,14/09/2023,24,1,5,Satisfied (4-5),2023,9,September,3,1,Bangalore,12300000,29700,1,14,500,7050,7000,50
2352,07/08/2023,24,1,4,Satisfied (4-5),2023,8,August,3,1,Bangalore,12300000,29700,1,5,500,2500,2500,0
2430,14/08/2023,24,1,5,Satisfied (4-5),2023,8,August,3,1,Bangalore,12300000,29700,1,18,500,9000,9000,0
3052,15/09/2023,24,1,4,Satisfied (4-5),2023,9,September,3,1,Bangalore,12300000,29700,1,14,500,7000,7000,0
7322,10/02/2024,1,1,4,Satisfied (4-5),2024,2,February,1,1,Bangalore,12300000,29700,1,7,350,2450,2450,0
7357,11/02/2024,1,1,4,Satisfied (4-5),2024,2,February,1,1,Bangalore,12300000,29700,1,14,350,4900,4900,0
10138,03/09/2024,2,1,5,Satisfied (4-5),2024,9,September,3,1,Bangalore,12300000,29700,1,5,900,4500,4500,0
10349,27/09/2024,3,1,5,Satisfied (4-5),2024,9,September,3,1,Bangalore,12300000,29700,1,19,250,4750,4750,0
484,16/02/2023,3,1,4,Satisfied (4-5),2023,2,February,1,1,Bangalore,12300000,29700,1,18,250,4525,4500,25
158,18/01/2023,3,1,4,Satisfied (4-5),2023,1,January,1,1,Bangalore,12300000,29700,1,17,250,4250,4250,0
3581,02/10/2023,4,1,5,Satisfied (4-5),2023,10,October,4,1,Bangalore,12300000,29700,1,10,600,6000,6000,0
6630,15/01/2024,4,1,5,Satisfied (4-5),2024,1,January,1,1,Bangalore,12300000,29700,1,8,600,4800,4800,0
9069,24/04/2024,4,1,4,Satisfied (4-5),2024,4,April,2,1,Bangalore,12300000,29700,1,5,600,3000,3000,0
