sale_id,sale_date,product_id,quantity,customer_id,total_amount,rating
2609,2023-09-01,24,5,1,2500,5
2716,2023-09-04,24,10,1,5000,4
3025,2023-09-14,24,14,1,7050,5
3581,2023-10-02,4,10,1,6000,5
4504,2023-11-04,5,12,1,5400,4
5079,2023-11-23,8,11,1,8250,5
5452,2023-12-05,9,17,1,11900,4
6630,2024-01-15,4,8,1,4800,5
7322,2024-02-10,1,7,1,2450,4
7357,2024-02-11,1,14,1,4900,4
9069,2024-04-24,4,5,1,3000,4
10138,2024-09-03,2,5,1,4500,5
10349,2024-09-27,3,19,1,4750,5
375,2023-02-06,11,19,1,10450,4
484,2023-02-16,3,18,1,4525,4
734,2023-03-08,26,17,1,15300,5
1787,2023-06-11,13,15,1,6750,4
1896,2023-06-24,21,10,1,6500,4
2207,2023-07-23,22,19,1,7600,5
2352,2023-08-07,24,5,1,2500,4
2430,2023-08-14,24,18,1,9000,5
3038,2023-09-15,22,9,1,3600,4
3052,2023-09-15,24,14,1,7000,4
3082,2023-09-16,23,6,1,1500,4
3444,2023-09-28,21,5,1,3250,4
5913,2023-12-22,14,11,1,3520,4
6428,2024-01-08,14,8,1,2560,5
135,2023-01-16,7,8,1,12000,5
158,2023-01-18,3,17,1,4250,4
193,2023-01-21,24,15,1,7500,4
1217,2023-04-23,1,6,1,2100,4
1302,2023-04-30,13,9,1,4050,4
1490,2023-05-16,2,15,1,13500,5
1813,2023-06-14,19,20,1,6000,4
1825,2023-06-15,17,17,1,10200,5
1830,2023-06-16,1,19,1,6650,4
2155,2023-07-20,2,18,1,16200,4
4975,2023-11-19,8,5,1,3750,5
2107,2023-07-16,2,10,1,9000,5
766,2023-03-11,11,12,1,6600,4
1150,2023-04-15,23,19,1,4750,4
1661,2023-06-01,14,16,1,5120,4
6687,2024-01-17,4,7,1,4200,5
6921,2024-01-26,2,16,1,14400,5
7933,2024-03-01,2,15,1,13500,5
9853,2024-07-29,1,10,1,3500,5
4888,2023-11-17,1,17,1,5950,5
9432,2024-06-01,1,20,1,7000,5
404,2023-02-09,13,20,2,9000,5
546,2023-02-22,15,7,2,2450,4
748,2023-03-10,3,17,2,4250,4
1475,2023-05-14,18,13,2,5850,4
2323,2023-08-03,24,12,2,6000,4
2569,2023-08-28,24,10,2,5000,4
4698,2023-11-10,10,11,2,19800,4
5657,2023-12-13,1,19,2,6650,4
6316,2024-01-04,14,19,2,6080,5
6829,2024-01-23,1,9,2,3150,4
7168,2024-02-04,4,14,2,8400,4
9499,2024-06-11,4,19,2,11400,5
9760,2024-07-16,1,12,2,4200,4
9815,2024-07-23,3,7,2,1750,5
789,2023-03-13,13,7,2,3150,5
1874,2023-06-21,25,10,2,6000,5
3168,2023-09-19,22,16,2,6400,5
3760,2023-10-07,10,15,2,27000,4
6385,2024-01-06,14,16,2,5120,5
7926,2024-03-01,2,12,2,10800,5
8708,2024-03-26,2,5,2,4500,5
8905,2024-04-05,2,15,2,13500,5
9673,2024-07-03,4,20,2,12000,5
918,2023-03-26,23,6,2,1500,4
1209,2023-04-22,14,12,2,3840,5
2717,2023-09-04,24,20,2,10000,5
6632,2024-01-15,4,14,2,8400,5
7653,2024-02-21,1,11,2,3850,4
10057,2024-08-22,2,15,2,13500,4
7120,2024-02-02,4,5,2,3000,5
7091,2024-02-01,3,12,2,3000,5
8361,2024-03-14,3,17,2,4250,5
929,2023-03-27,28,5,3,1500,4
2490,2023-08-20,24,10,3,5000,5
2619,2023-09-01,24,20,3,10000,5
4498,2023-11-04,2,18,3,16200,4
5014,2023-11-21,3,7,3,1750,5
5982,2023-12-24,14,19,3,6080,4
6638,2024-01-16,1,20,3,7000,5
10211,2024-09-12,2,16,3,14400,4
55,2023-01-06,23,15,3,3750,5
413,2023-02-09,27,15,3,3000,4
636,2023-03-01,20,20,3,16000,4
1583,2023-05-24,15,15,3,5250,5
1940,2023-06-30,20,7,3,5600,5
2330,2023-08-04,24,5,3,2500,5
5484,2023-12-07,4,14,3,8400,5
6689,2024-01-18,1,8,3,2800,5
655,2023-03-02,22,9,3,3600,4
2250,2023-07-27,14,12,3,3842,4
2372,2023-08-09,24,15,3,7500,5
2817,2023-09-07,24,17,3,8500,4
2880,2023-09-09,24,10,3,5000,4
3137,2023-09-18,23,11,3,2750,4
4516,2023-11-04,10,8,3,14400,4
5579,2023-12-10,2,20,3,18000,5
9914,2024-08-05,2,14,3,12600,4
10056,2024-08-22,1,10,3,3500,5
3322,2023-09-23,24,16,3,8000,4
6574,2024-01-13,3,18,3,4500,5
6793,2024-01-21,2,6,3,5400,5
8528,2024-03-19,4,17,3,10200,5
668,2023-03-03,20,16,3,12800,4
3302,2023-09-23,22,9,3,3600,4
8786,2024-03-29,1,8,3,2800,5
1928,2023-06-29,2,13,3,11700,4
2900,2023-09-10,22,10,3,4000,5
821,2023-03-16,4,8,4,4800,5
1466,2023-05-13,25,18,4,10800,4
4385,2023-10-31,9,10,4,7000,5
6211,2024-01-01,14,8,4,2560,5
6891,2024-01-25,2,7,4,6300,4
8056,2024-03-04,1,14,4,4900,5
9208,2024-05-08,2,13,4,11700,5
10118,2024-08-30,3,17,4,4250,5
73,2023-01-09,17,13,4,7800,4
2426,2023-08-14,24,20,4,10000,5
3949,2023-10-14,8,15,4,11250,4
4638,2023-11-08,9,19,4,13300,4
5509,2023-12-08,1,15,4,5250,5
5705,2023-12-15,2,11,4,9900,4
10132,2024-09-01,4,6,4,3600,4
151,2023-01-17,17,13,4,7800,4
2238,2023-07-26,14,13,4,4160,5
2298,2023-08-01,8,14,4,10500,4
3522,2023-09-30,23,9,4,2250,5
3923,2023-10-14,1,12,4,4200,4
8268,2024-03-11,2,12,4,10800,5
733,2023-03-08,25,20,4,12000,4
7283,2024-02-08,3,18,4,4500,4
9166,2024-05-04,3,20,4,5000,4
7953,2024-03-01,4,16,4,9600,4
7118,2024-02-02,4,13,4,7800,5
9419,2024-05-30,3,15,4,3750,5
778,2023-03-12,11,12,5,6600,4
